#separator:tab
#html:false
beprövad	som är tillförlitlig
bilingual	tvåspråkig
knata	gå fort
förhala	dröja med
bonitet	värde
otolog	öronläkare
hävdatecknare	historieskrivare
daktyloskopi	fingeravtryckslära
viadukt	väg- eller järnvägsbro
grisaille	målning i gråa valörer
evakuera	utrymma
bekväma sig	förmå sig
magnat	rik och mäktig person
konstitutiv	grundläggande
xylograf	träsnidare
resolut	beslutsam
mangrann	fulltalig
konsortium	affärssammanslutning
putslustig	tokrolig
nock	takås
depreciera	skriva ned
bilateral	dubbelsidig
loafer	sko utan snören
hux flux	plötsligt
terapeutisk	behandlande
ogrumlad	ren
glyptotek	museum med skulpturer
loggia	täckt pelargång
materialistisk	pengafixerad
kontenta	huvudinnehåll
brissling	småsill
försonlig	förlåtande
presumera	anta
lägga sordin på	dämpa
schattera	skugga, nyansera         Konstnären schatterade himlen med blå och violetta nyanser.
koloss	jätte
troppa av	gå iväg
charmant	utmärkt
morän	glaciärbildat grus
oktett	ensemble om åtta
kalkylera	beräkna
revy	skämtsam underhållning
civiliserad	väluppfostrad
vedervåga	sätta på spel
yuppie	finanslejon
syntetisk	konstgjord
fraternisera	umgås broderligt
uppslag	idé
konstra	sätta sig på tvären
vivacitet	livlighet
pseudovetenskaplig	skenbart vetenskaplig
anrika	öka halten av
urmodig	föråldrad
plebej	person ur underklassen
marginell	oväsentlig
logotyp	firmamärke
monstruös	oformlig
repressalie	hämnd, straff
avi	skriftligt meddelande
grätten	kräsen
gyro	snurrande hjulanordning
anträda	påbörja
bouillabaisse	fisksoppa
aristokratisk	förnäm
salamander	ödleliknande groddjur
göra sorti	gå ut från
högfärdig	uppblåst
gedigen	äkta och oblandad
komma för	plötsligt få
ha pippi på	vara galen i
sufflett	nedfällbart tak, tex på bil
korus	flera röster samtidigt
ans	skötsel
reservat	bevarat område
förliden	den förra
fonetik	läran om språkljud
dåna	svimma
blindskrift	punktskrift
atonal	utan tonart och harmoni
såframt	om
låta påskina	antyda falskt
sondera	utforska
amsaga	osannolik historia
prelat	hög präst
oart	dålig vana
dalt	pjosk
assurans	försäkring
överlastad	utstyrd
krusa	fjäska
bryne	redskap för slipning
slentrian	gammal vana
konjunktur	ekonomiskt läge
proskribera	bannlysa
vitsord	arbetsintyg
spetsfundig	listig och kvicktänkt
fördärvlig	skadlig
undulera	gå i vågor
med hull och hår	fullständigt
exponera	utsätta för ljus
variabel	föränderlig
topografi	terrängbeskrivning
potentat	härskare
lid	mindre backe
ornera	utsmycka
brutto	belopp innan skatt
evaporera	avdunsta
tillfalla	tilldelas någon
relä	magnetisk kretsbrytare
varest	där
pistong	kolv
drägg	bottensats
signera	skriva under
girig	snål
förtörnad	kränkt
formsak	regelfråga
överreklamerad	överskattad
åma	göra sig till
eolisk	som har att göra med vinden
honoris causa	för hederns skull
djäkne	skolyngling
salongsfähig	som passar förnäma kretsar
exkurs	utvikning
granntyckt	kräsen
avbörda sig	lämna ifrån sig
slapstick	en sorts filmfars
brutalisera	förråa
faskikel	pappersbunt
försigkommen	tidig för sin ålder
tabernakel	altartak eller kyrkotält
gourmand	matvrak
fideikommiss	egendom som stannar inom släkt
överrumpla	komma överraskat
runda ord	fula ord
karitativ	vårdande
i sinom tid	förr eller senare
sidsteppa	ställa någon utanför
byråkratisk	krånglig och regelfixerad
försummelse	underlåtenhet
överloppsgärning	något onödigt
försumlig	slarvig
flinta	bergart
kentaur	man med hästkropp
skrymma	ta stor plats
vidlyftig	alltför stor
bleke	vindstilla
medaljong	hängsmycke
skrävla	skryta
trolsk	mystisk och sagolik
imperialism	erövringspolitik
dissekera	skära upp och undersöka
grossist	mellanledshandlare
abdomen	buk
aseptisk	steril
exkludera	utesluta
uttrycklig	bestämd
extraordinär	utöver det vanliga
tillstå	erkänna
tillhandahålla	ställa till förfogande
nota bene	märk väl
konformitet	likriktad anpassning
driftig	företagsam
frotté	typ av öglat bomullstyg
imperium	stormaktsvälde
kreolspråk	blandspråk
huttla med någon	driva med
rutt	färdväg
platonisk	utan sexualliv
cypress	ett barrträd
effeminerad	förkvinnligad
autentisk	äkta
blaskig	vattnig
fadd	smaklös; intetsägande
browning	pistol
strömning	åsiktsriktning; åsiktsstil
degression	tillbakagång
metronom	takthållande apparat
nekrolog	dödsruna
svärmisk	romantisk
gentil	frikostig
mikrofiche	förminskad lagringsfilm
kalorimeter	värmemätare
consensus	överensstämmelse
vokabulär	ordförråd
undersätsig	kort och kraftig
respektabel	aktningsvärd
fikonspråk	krångligt fackspråk
entente	pakt mellan stater
märgfull	kraftig
huldra	förförisk skogskvinna
lamentera	jämra sig
excentrisk	underlig och originell
gestalta	ge form åt
uppsluppen	glad och livad
oval	äggformad
ekvivalent	likvärdig
vokalist	sångare
exalterad	upprymd
högtflygande	ambitiös
faun	skogsgud
allegat	verifikation
signa	välsigna
gruvlig	hemsk
krumpen	böjd och krokig
inkassera	få ta emot
marinera	lägga i kryddvätska
hybris	övermod
åbäkig	otymplig
anblick	skymt
ambulera	flytta omkring
tradera	överföra muntligt
underlåta	försumma något
märla	u-formad metallbit
bohag	möbler och inredning
åderlåta	ta blod
ism	konstriktning
granulera	sönderdela i korn
adoratör	beundrare
borstj	rödbetssoppa
knivig	svår
kalibrera	ställa in mätinstrument
dekantera	hälla av
stilisera	förenkla
nimbus	strålglans runt person
affekt	starka känslor
goodwill	bra rykte
sepia	brun färg
ingenium	begåvning
bödel	exekutionsbetjänt
leva i sus och dus	festa mycket
katakomb	underjordiskt gravutrymme
talträngd	pratsam
randas	börja
inhalation	inandning
hutlös	oförskämd
åvila någon	ha som ansvar
neurolog	nervsystemesläkare
dupera	lura och vilseleda
podium	upphöjd platå
dispasch	haveriutredning
changera	bli sämre   Förändras till det sämre; försämras i tillstånd eller skick.    Försämras, förfalla, degenerera, avta, förlora kraft, deklinerar, tillbakagå    Hans hälsa började changera efter den långa vintern.
futil	obetydlig
krönika	framställn. i tidsföljd
katedral	domkyrka
ogrundad	utan bra anledning
vernissage	invigning av utställning
affektiv	känsloladdad
håvor	gåvor
binge	kista
deadline	tidsgräns
besynnerlig	egendomlig
jaspis	röd smyckesten
morsk	orädd
kapsejsa	kantra
hurtbulle	friskus
ad interim	tills vidare
hugfästa	göra så att man minns
introspektiv	själviakttagande
scenario	manus eller framtidsbild
utmönstra	gallra ut
abstrakt	icke konkret, ogripbar
anvisa	bevilja pengar
förelöpare	föregångare
balkanisering	splittring i småstater
skärpa	göra skarp
koreografi	danskomposition
tribut	avgift; hyllning
avhysa	vräka från bostad
samarit	hjälpsam medmänniska
bygdemål	dialekt
pittoresk	lantligt idyllisk
överflödig	onödig
presidera	sitta som ordförande
fjord	djup havsvik
åskådlig	klar och tydlig
anhålla	begära
härk	renoxe
erforderlig	nödvändig
